i = 1, pred = 0.8584399819374084d0, var = 0.0d0
i = 32.40005, pred = 0.8455958815168428d0, var = 1.7675967702601742d-5
i = 32.60005, pred = 0.84554939213428d0, var = 1.7832296172626136d-5
i = 32.800053, pred = 0.8455115442078822d0, var = 1.797971671957292d-5
i = 33.000053, pred = 0.8454811907028038d0, var = 1.8105306582390294d-5
i = 33.200054, pred = 0.8454572806389038d0, var = 1.819697340019719d-5
i = 33.400055, pred = 0.8454386676882215d0, var = 1.8245354008353114d-5
i = 33.600056, pred = 0.8454242803887906d0, var = 1.8245340224292155d-5
i = 33.800056, pred = 0.8454132200140622d0, var = 1.8196933993016628d-5
i = 34.000057, pred = 0.8454049590734689d0, var = 1.8105245267456586d-5
i = 34.200058, pred = 0.8453994979032862d0, var = 1.7979639480294827d-5
i = 34.40006, pred = 0.845397453868282d0, var = 1.783220994965107d-5
i = 34.60006, pred = 0.8454000566671467d0, var = 1.7675880197741898d-5
i = 34.80006, pred = 0.8454093407198516d0, var = 1.752254159300987d-5
i = 35.00006, pred = 0.8454280722920906d0, var = 1.738158907448929d-5
i = 35.20006, pred = 0.8454592615636723d0, var = 1.7259120897946587d-5
i = 35.400063, pred = 0.8455062799146605d0, var = 1.715786720440874d-5
i = 35.600063, pred = 0.8455722884640566d0, var = 1.7077723486003057d-5
i = 35.800064, pred = 0.8456598573103263d0, var = 1.701664252655421d-5
i = 36.000065, pred = 0.8457705630859076d0, var = 1.697159633979451d-5
i = 36.200066, pred = 0.8459047707039423d0, var = 1.69393763146232d-5
i = 36.400066, pred = 0.8460614902373638d0, var = 1.691714748669139d-5
i = 36.600067, pred = 0.8462383634198004d0, var = 1.690272170414339d-5
i = 36.800068, pred = 0.8464319870493828d0, var = 1.6894617881730072d-5
i = 37.00007, pred = 0.8466381213523433d0, var = 1.6892006717133838d-5
i = 37.20007, pred = 0.8468523940149187d0, var = 1.6894623255706072d-5
i = 37.40007, pred = 0.8470703021275594d0, var = 1.6902734062522754d-5
i = 37.60007, pred = 0.8472881429927809d0, var = 1.691716575890092d-5
i = 37.80007, pred = 0.8475029235837287d0, var = 1.6939402895691874d-5
i = 38.000072, pred = 0.8477127910871104d0, var = 1.6971633993770176d-5
i = 38.200073, pred = 0.8479169267294274d0, var = 1.701669342101055d-5
i = 38.400074, pred = 0.8481156954445123d0, var = 1.707778725211682d-5
i = 38.600075, pred = 0.8483102095382044d0, var = 1.7157946784592995d-5
i = 38.800076, pred = 0.8485024173777195d0, var = 1.7259218236569992d-5
i = 39.000076, pred = 0.8486946124353362d0, var = 1.7381702347247393d-5
i = 39.200077, pred = 0.8488891632999657d0, var = 1.752266776364583d-5
i = 39.400078, pred = 0.8490884658307207d0, var = 1.7676013238049273d-5
i = 39.60008, pred = 0.8492947405105787d0, var = 1.783234286804475d-5
i = 39.80008, pred = 0.8495097948031958d0, var = 1.7979763341214157d-5
i = 40.00008, pred = 0.8497353147602273d0, var = 1.8105349638972533d-5
i = 40.20008, pred = 0.8499726761967348d0, var = 1.819701177563259d-5
i = 40.40008, pred = 0.8502230538749826d0, var = 1.8245386020181588d-5
i = 40.600082, pred = 0.8504874590153058d0, var = 1.8245365701756098d-5
i = 40.800083, pred = 0.8507666957720184d0, var = 1.8196950190571502d-5
i = 41.000084, pred = 0.8510614807166411d0, var = 1.810525595716935d-5
i = 41.200085, pred = 0.8513723049722166d0, var = 1.7979645155693505d-5
i = 41.400085, pred = 0.8516993567751739d0, var = 1.7832211891866982d-5
i = 41.600086, pred = 0.8520423855597334d0, var = 1.7675879180984517d-5
i = 41.800087, pred = 0.8524007370246596d0, var = 1.752253794434855d-5
i = 42.000088, pred = 0.8527729802296586d0, var = 1.7381583594661883d-5
i = 42.20009, pred = 0.8531571409374258d0, var = 1.7259114428633332d-5
i = 42.40009, pred = 0.8535503449808263d0, var = 1.7157861305242513d-5
i = 42.60009, pred = 0.853949193327589d0, var = 1.7077718197511624d-5
i = 42.80009, pred = 0.8543497417318007d0, var = 1.7016638985709852d-5
i = 43.00009, pred = 0.8547474783423024d0, var = 1.6971593776560334d-5
i = 43.200092, pred = 0.8551379573985254d0, var = 1.6939375855240518d-5
i = 43.400093, pred = 0.8555168294521924d0, var = 1.691715142281998d-5
i = 43.600094, pred = 0.8558801619055547d0, var = 1.6902731909691628d-5
i = 43.800095, pred = 0.8562246972817794d0, var = 1.6894637276382724d-5
i = 44.000095, pred = 0.8565481365983922d0, var = 1.689203734997282d-5
i = 44.200096, pred = 0.8568491992425394d0, var = 1.6894668870134075d-5
i = 44.400097, pred = 0.8571275324671003d0, var = 1.690279583616243d-5
i = 44.600098, pred = 0.8573836373320123d0, var = 1.691724944977986d-5
i = 44.8001, pred = 0.8576186391054517d0, var = 1.6939510904997773d-5
i = 45.0001, pred = 0.8578341704628203d0, var = 1.69717693583926d-5
i = 45.2001, pred = 0.8580317190845026d0, var = 1.7016859163005705d-5
i = 45.4001, pred = 0.8582127904684094d0, var = 1.7077987131188357d-5
i = 45.6001, pred = 0.8583785507959742d0, var = 1.7158182311150803d-5
i = 45.800102, pred = 0.8585298704765545d0, var = 1.7259488870785184d-5
i = 46.000103, pred = 0.8586671289835128d0, var = 1.738201035563475d-5
i = 46.200104, pred = 0.8587906154490975d0, var = 1.7523011465655592d-5
i = 46.400105, pred = 0.8589002277131379d0, var = 1.7676390303267575d-5
i = 46.600105, pred = 0.8589957982171881d0, var = 1.783274740458913d-5
i = 46.800106, pred = 0.8590772785920799d0, var = 1.7980188250590447d-5
i = 47.000107, pred = 0.859144534445168d0, var = 1.8105789178130634d-5
i = 47.200108, pred = 0.8591976856443089d0, var = 1.819745710358568d-5
i = 47.40011, pred = 0.8592371335790462d0, var = 1.8245831337607755d-5
i = 47.60011, pred = 0.8592632856772322d0, var = 1.824580027574354d-5
i = 47.80011, pred = 0.8592772058191774d0, var = 1.8197367853057418d-5
i = 48.00011, pred = 0.8592801234553382d0, var = 1.8105646121098834d-5
i = 48.20011, pred = 0.8592737852959267d0, var = 1.7980001578755587d-5
i = 48.400112, pred = 0.8592604741585228d0, var = 1.7832528136951596d-5
i = 48.600113, pred = 0.8592429540748487d0, var = 1.7676149565811686d-5
i = 48.800114, pred = 0.8592243510740605d0, var = 1.7522760927402156d-5
i = 49.000114, pred = 0.8592082426896105d0, var = 1.738175796639031d-5
i = 49.200115, pred = 0.8591982815905284d0, var = 1.725924139824282d-5
i = 49.400116, pred = 0.8591981077191122d0, var = 1.7157943909136845d-5
i = 49.600117, pred = 0.8592109239514013d0, var = 1.7077767293632168d-5
i = 49.800117, pred = 0.8592395058944374d0, var = 1.7016668665715813d-5
i = 50.00012, pred = 0.8592857170045973d0, var = 1.697162327189634d-5
i = 50.20012, pred = 0.8593504488201715d0, var = 1.693943114110294d-5
i = 50.40012, pred = 0.8594335194601189d0, var = 1.691726517637964d-5
i = 50.60012, pred = 0.8595340971930955d0, var = 1.69029439038786d-5
i = 50.80012, pred = 0.8596504236853464d0, var = 1.68949904038552d-5
i = 51.000122, pred = 0.8597803644406804d0, var = 1.6892584770384063d-5
i = 51.200123, pred = 0.8599217103104242d0, var = 1.6895466195702654d-5
i = 51.400124, pred = 0.8600721120213555d0, var = 1.6903904708456182d-5
i = 51.600124, pred = 0.86022960448947d0, var = 1.6918732575454058d-5
i = 51.800125, pred = 0.8603923271041307d0, var = 1.6941433100610286d-5
i = 52.000126, pred = 0.8605586980916602d0, var = 1.6974194164761187d-5
i = 52.200127, pred = 0.860727226643133d0, var = 1.701984791117129d-5
i = 52.400127, pred = 0.8608964896106843d0, var = 1.708159731301916d-5
i = 52.60013, pred = 0.8610649970435761d0, var = 1.716246090950089d-5
i = 52.80013, pred = 0.8612308806604518d0, var = 1.726447328897582d-5
i = 53.00013, pred = 0.8613921467972385d0, var = 1.738772168911257d-5
i = 53.20013, pred = 0.8615464614201818d0, var = 1.7529455840304567d-5
i = 53.40013, pred = 0.8616912637400214d0, var = 1.768355526621781d-5
i = 53.600132, pred = 0.8618234958676968d0, var = 1.784059749472872d-5
i = 53.800133, pred = 0.8619399513255688d0, var = 1.798866868139179d-5
i = 54.000134, pred = 0.8620373494666365d0, var = 1.8114818356725795d-5
i = 54.200134, pred = 0.8621119699188721d0, var = 1.8206931946340294d-5
i = 54.400135, pred = 0.8621602958529495d0, var = 1.8255622413039684d-5
i = 54.600136, pred = 0.8621787445081871d0, var = 1.8255765472217676d-5
i = 54.800137, pred = 0.8621638951406814d0, var = 1.8207342828787613d-5
i = 55.000137, pred = 0.8621124954700348d0, var = 1.811545704423609d-5
i = 55.200138, pred = 0.8620218161127867d0, var = 1.7989468871344856d-5
i = 55.40014, pred = 0.8618895506732167d0, var = 1.7841472861511287d-5
i = 55.60014, pred = 0.8617141528907315d0, var = 1.7684404877305373d-5
i = 55.80014, pred = 0.8614948551888573d0, var = 1.7530176689014033d-5
i = 56.00014, pred = 0.8612317729320865d0, var = 1.7388221907501584d-5
i = 56.20014, pred = 0.8609258029726139d0, var = 1.72646830778571d-5
i = 56.400143, pred = 0.8605788885663335d0, var = 1.7162351490937904d-5
i = 56.600143, pred = 0.8601934885656213d0, var = 1.7081201300882662d-5
i = 56.800144, pred = 0.8597728019685521d0, var = 1.7019276367160254d-5
i = 57.000145, pred = 0.859320198336573d0, var = 1.6973652140251185d-5
i = 57.200146, pred = 0.858839289669623d0, var = 1.6941240740602545d-5
i = 57.400146, pred = 0.8583337157619931d0, var = 1.6919338160962406d-5
i = 57.600147, pred = 0.8578070216219958d0, var = 1.690588818373576d-5
i = 57.800148, pred = 0.8572625373220506d0, var = 1.689955480226575d-5
i = 58.00015, pred = 0.8567034985239257d0, var = 1.689964818830423d-5
i = 58.20015, pred = 0.8561330013458821d0, var = 1.690603908834492d-5
i = 58.40015, pred = 0.8555540756193686d0, var = 1.691911804737096d-5
i = 58.60015, pred = 0.8549697239037536d0, var = 1.6939822985292028d-5
i = 58.80015, pred = 0.854382947492049d0, var = 1.6969721312522193d-5
i = 59.000153, pred = 0.8537967361430506d0, var = 1.7011055324887795d-5
i = 59.200153, pred = 0.8532140439576417d0, var = 1.7066679127093156d-5
i = 59.400154, pred = 0.8526379110626979d0, var = 1.7139772426658005d-5
i = 59.600155, pred = 0.8520711133307743d0, var = 1.7233288941799963d-5
i = 59.800156, pred = 0.8515167340165037d0, var = 1.7349143069578733d-5
i = 60.000156, pred = 0.8509774479280411d0, var = 1.7487242691551995d-5
i = 60.200157, pred = 0.8504561107944015d0, var = 1.7644604523630975d-5
i = 60.400158, pred = 0.8499553867679361d0, var = 1.781481099527379d-5
i = 60.60016, pred = 0.8494781364240236d0, var = 1.7988088804441754d-5
i = 60.80016, pred = 0.8490270659903648d0, var = 1.8152113517357933d-5
i = 61.00016, pred = 0.8486050384352051d0, var = 1.8293484886668448d-5
i = 61.20016, pred = 0.8482150535517475d0, var = 1.8399595922251833d-5
i = 61.40016, pred = 0.847860081942069d0, var = 1.846054787783701d-5
i = 61.600163, pred = 0.847543268731628d0, var = 1.847069536323016d-5
i = 61.800163, pred = 0.8472675343441715d0, var = 1.8429522516192138d-5
i = 62.000164, pred = 0.847035960381831d0, var = 1.834166789026085d-5
i = 62.200165, pred = 0.8468511432495923d0, var = 1.821610229917366d-5
i = 62.400166, pred = 0.8467153450143239d0, var = 1.8064633914150432d-5
i = 62.600166, pred = 0.8466301994705073d0, var = 1.7900046146682688d-5
i = 62.800167, pred = 0.8465965202619683d0, var = 1.773427895633605d-5
i = 63.000168, pred = 0.8466143062290045d0, var = 1.7577006295218942d-5
i = 63.20017, pred = 0.8466824130117562d0, var = 1.7434877776907742d-5
i = 63.40017, pred = 0.8467987633060645d0, var = 1.7311491082583643d-5
i = 63.60017, pred = 0.8469603238893033d0, var = 1.7207973200535523d-5
i = 63.80017, pred = 0.8471631985182577d0, var = 1.712390821914148d-5
i = 64.00017, pred = 0.8474029693015712d0, var = 1.7058338970630182d-5
i = 64.200165, pred = 0.8476748228783736d0, var = 1.7010603599379925d-5
i = 64.40016, pred = 0.8479738297967166d0, var = 1.698091850644141d-5
i = 64.60016, pred = 0.8482950715607204d0, var = 1.6970669543948528d-5
i = 64.800156, pred = 0.8486340193267019d0, var = 1.698249301838501d-5
i = 65.00015, pred = 0.8489863708079262d0, var = 1.7020223395822677d-5
i = 65.20015, pred = 0.8493482161623649d0, var = 1.708880496271004d-5
i = 65.40015, pred = 0.8497159844584058d0, var = 1.7194241992336446d-5
i = 65.60014, pred = 0.8500862960536285d0, var = 1.7343615018420963d-5
i = 65.80014, pred = 0.8504556480679618d0, var = 1.7545128602278846d-5
i = 66.00014, pred = 0.8508207950700326d0, var = 1.780813015403533d-5
i = 66.200134, pred = 0.8511782061847635d0, var = 1.8142989436578737d-5
i = 66.40013, pred = 0.8515242836459571d0, var = 1.8560764987686815d-5
i = 66.60013, pred = 0.8518556065537591d0, var = 1.9072582873207612d-5
i = 66.800125, pred = 0.8521688431792069d0, var = 1.9688751958825622d-5
i = 67.00012, pred = 0.8524612495945559d0, var = 2.0417722781267262d-5
i = 67.20012, pred = 0.8527307770473661d0, var = 2.1265108336208132d-5
i = 67.400116, pred = 0.8529760604916625d0, var = 2.2233058498312323d-5
i = 67.60011, pred = 0.8531968301528104d0, var = 2.332024860949927d-5
i = 67.80011, pred = 0.8533936092285666d0, var = 2.4522586442123097d-5
i = 68.00011, pred = 0.8535678027798297d0, var = 2.5834590656601473d-5
i = 68.2001, pred = 0.853721493818938d0, var = 2.7251186071735223d-5
i = 68.4001, pred = 0.8538571632472682d0, var = 2.8769507217803323d-5
i = 68.6001, pred = 0.8539775332959378d0, var = 3.0390380054688172d-5
i = 68.800095, pred = 0.8540854889133752d0, var = 3.211910520165073d-5
i = 69.00009, pred = 0.8541835408533327d0, var = 3.396542664168292d-5
i = 69.20009, pred = 0.854274084849495d0, var = 3.594262496128938d-5
i = 69.400085, pred = 0.8543589509647106d0, var = 3.8065990348033374d-5
i = 69.60008, pred = 0.8544395384559345d0, var = 4.0350882084005534d-5
i = 69.80008, pred = 0.8545167899344549d0, var = 4.28109045684651d-5
i = 70.00008, pred = 0.854591296559289d0, var = 4.5456416145772064d-5
i = 70.20007, pred = 0.854663600126975d0, var = 4.829378087861321d-5
i = 70.40007, pred = 0.8547343323392459d0, var = 5.132529656239154d-5
i = 70.60007, pred = 0.8548046428798284d0, var = 5.454978383450969d-5
i = 70.800064, pred = 0.8548764587091017d0, var = 5.796350882027392d-5
i = 71.00006, pred = 0.8549526708640213d0, var = 6.156120870703602d-5
i = 71.20006, pred = 0.8550372240066744d0, var = 6.533691410186037d-5
i = 71.400055, pred = 0.855134902602607d0, var = 6.928457571323702d-5
i = 71.60005, pred = 0.855250894534098d0, var = 7.339839286619051d-5
i = 71.80005, pred = 0.8553903981819422d0, var = 7.767290858411045d-5
i = 72.000046, pred = 0.855558083868418d0, var = 8.210300506592315d-5
i = 72.20004, pred = 0.8557574785185892d0, var = 8.668387956238516d-5
i = 72.40004, pred = 0.8559905686009593d0, var = 9.141105987919624d-5
i = 72.60004, pred = 0.8562576613823488d0, var = 9.628042509851613d-5
i = 72.80003, pred = 0.8565572882161414d0, var = 1.0128837885421472d-4
i = 73.00003, pred = 0.8568865091380515d0, var = 1.0643192995471873d-4
i = 73.20003, pred = 0.8572411217052758d0, var = 1.117086113655556d-4
i = 73.400024, pred = 0.8576161456367939d0, var = 1.1711624258896112d-4
i = 73.60002, pred = 0.8580062723314116d0, var = 1.2265244972196443d-4
i = 73.80002, pred = 0.8584062417146928d0, var = 1.2831376933505203d-4
i = 74.000015, pred = 0.8588111663642956d0, var = 1.3409477789770984d-4
i = 74.20001, pred = 0.8592168868465583d0, var = 1.399871477145308d-4
i = 74.40001, pred = 0.8596199272898524d0, var = 1.4597915376371925d-4
i = 74.600006, pred = 0.8600178260712033d0, var = 1.5205571465225115d-4
i = 74.8, pred = 0.8604088485895613d0, var = 1.5819918620006793d-4
i = 75.0, pred = 0.8607922231374234d0, var = 1.6439087889429815d-4
i = 75.2, pred = 0.8611677232617544d0, var = 1.7061288657300143d-4
